arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4401,샛강,S401,N,,05:30:00,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4402,대방,S402,N,05:31:00,05:31:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4403,서울지방병무청,S403,N,05:33:00,05:33:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4404,보라매,S404,N,05:34:00,05:34:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4405,보라매공원,S405,N,05:36:00,05:36:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4406,보라매병원,S406,N,05:38:00,05:38:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4407,당곡,S407,N,05:39:00,05:39:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4408,신림,S408,N,05:41:00,05:41:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4409,서원,S409,N,05:43:00,05:43:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4410,서울대벤처타운,S410,N,05:45:00,05:45:30,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4411,관악산,S411,N,05:47:00,,,1001,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4401,샛강,S401,N,,05:40:00,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4402,대방,S402,N,05:41:00,05:41:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4403,서울지방병무청,S403,N,05:43:00,05:43:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4404,보라매,S404,N,05:44:00,05:44:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4405,보라매공원,S405,N,05:46:00,05:46:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4406,보라매병원,S406,N,05:48:00,05:48:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4407,당곡,S407,N,05:49:00,05:49:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4408,신림,S408,N,05:51:00,05:51:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4409,서원,S409,N,05:53:00,05:53:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4410,서울대벤처타운,S410,N,05:55:00,05:55:30,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4411,관악산,S411,N,05:57:00,,,1003,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4401,샛강,S401,N,,05:50:00,,1005,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4402,대방,S402,N,05:51:00,05:51:30,,1005,하행,2025-05-01T05:00:00,,평일
신림선,4411,관악산,S411,,20250619,신림선,4401,샛강,S401,N,신림선,,4403,서울지방병무청,S403,N,05:53:00,05:53:30,,1005,하행,2025-05-01T05:00:00,,평일
