arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,brlnNm,crtrYmd,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,etrnYn,lineNm,lnkgTrainno,stnCd,stnNm,stnNo,tmprTmtblYn,trainArvlTm,trainDptreTm,trainKnd,trainno,upbdnbSe,vldBgngDt,vldEndDt,wkndSe
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1501,판교,K409,N,,05:30:00,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1512,성남,K410,N,05:32:00,05:32:30,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1502,이매,K411,N,05:34:00,05:34:30,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1503,삼동,K412,N,05:39:30,05:40:00,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1504,경기광주,K413,N,05:44:00,05:45:00,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1505,초월,K414,N,05:49:00,05:49:30,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1506,곤지암,K415,N,05:53:30,05:54:00,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1507,신둔도예촌,K416,N,05:59:00,05:59:30,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1508,이천,K417,N,06:05:00,06:05:30,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1509,부발,K418,N,06:09:00,06:09:30,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1510,세종대왕릉,K419,N,06:15:30,06:16:00,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1511,여주,K420,N,06:20:30,,,K7501,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1501,판교,K409,N,,05:53:00,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1512,성남,K410,N,05:54:30,05:55:00,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1502,이매,K411,N,05:57:00,05:57:30,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1503,삼동,K412,N,06:02:30,06:03:00,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1504,경기광주,K413,N,06:07:00,06:08:00,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1505,초월,K414,N,06:12:00,06:12:30,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1506,곤지암,K415,N,06:16:30,06:17:00,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1507,신둔도예촌,K416,N,06:22:00,06:22:30,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1508,이천,K417,N,06:28:00,06:28:30,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1509,부발,K418,N,06:32:00,06:32:30,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1510,세종대왕릉,K419,N,06:38:30,06:39:00,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1511,여주,K420,N,06:43:30,,,K7503,하행,2025-05-01T05:00:00,,평일
경강선,1511,여주,K420,,20250619,경강선,1501,판교,K409,N,경강선,,1501,판교,K409,N,,06:17:00,,K7505,하행,2025-05-01T05:00:00,,평일
